,Agriculture,Fishery,Forestry,Mining,Manufacturing,Other_Exports,Re-Exports_1,Total_Exports_(Customs_basis)
0,Rice,Crustaceans,,Crude_oil,Agro-manufacturing_Products,,,Agriculture
1,Rubber,Fish,,"Mineral_products,_n.i.e.",Apparels_and_Textile_Materials,,,Fishery
2,Durian,"Cuttlefish,_squid,_octopus",,,Footware_and_parts,,,Forestry
3,Other_Fruits,"Fishery_products,_n.i.e.",,,Electronics,,,Mining
4,"Horticultural_products,_n.i.e.",,,,Electrical_Appliances,,,Manufacturing
5,Animal_products,,,,Metal_&_Steel,,,Other_Exports
6,,,,,Automotive,,,Re-Exports_1
7,,,,,"Aircrafts,_ships,_floating_structures,_and_locomotive",,,
8,,,,,Machinery_&_Equipment,,,
9,,,,,Jewellery,,,
10,,,,,Chemicals_&_Petro-chemical_Products,,,
11,,,,,Petroleum_products,,,
12,,,,,Photographic_&_cinematographic_instruments_&_supplies,,,
13,,,,,Medicinal_and_surgical_equipment_and_supplies,,,
14,,,,,Toiletries_and_cosmetics,,,
15,,,,,Furniture_and_parts,,,
16,,,,,Other_Manufacturing_products,,,
