,Rice,Rubber,Durian,Other_Fruits,"Horticultural_products,_n.i.e.",Animal_products,Crustaceans,Fish,"Cuttlefish,_squid,_octopus","Fishery_products,_n.i.e.",Forestry,Crude_oil,"Mineral_products,_n.i.e.",Other_Exports,Re-Exports_1/,Total_Exports_(Customs_basis),Sugar,"Fish,_canned,_prepared,_or_preserved","Crustaceans_canned,_prepared,_or_preserved","Meat_of_poultry,_canned,_prepared,_or_preserved",Tapioca_&_cassava_starch,"Other_fruits_&_vegetables,_canned,_prepared,_or_preserved",Preparation_of_cereals_flour_or_starch,"Food_products,_n.i.e.",Beverages,Rubber_products,Paper_products,Wood_&_wood_products,Leather_&_leather_products,Animal_food,Other_agro-manufacturing_products,Apparels_and_Textile_Materials,Footware_and_parts,Computer,Computer_parts_&_accessories,Integrated_circuits_&_parts,Printed_circuits,Telecommunication_equipments,Air_conditioning_machines,Refrigerators,Parts_of_electrical_appliances,Electrical_control_devices,Other_electrical_apparatus_(excl._printed_circuits_and_electrical_control_devices),Appliances_Washing_machine,Other_Electrical_Appliances,Iron_&_steel,Aluminium,Copper,Other_metal_&_steel,Passenger_car,Pick_up_and_trucks,Motorcycle,"Other_vehicles,_n.i.e.",Vehicle_parts_&_accessories,"Aircrafts,_ships,_floating_structures,_and_locomotive",Machinery_&_Equipment,Jewellery,Chemicals_&_Petro-chemical_Products,Petroleum_products,Photographic_&_cinematographic_instruments_&_supplies,Medicinal_and_surgical_equipment_and_supplies,Toiletries_and_cosmetics,Furniture_and_parts,Other_Manufacturing_products,Coverage_Adjustment,Timing_Adjustment,"Exports,_f.o.b._(BOP_basis)"
1995-01-01,196.61,229.04,0.54,1.97,116.57,39.46,152.2,33.27,23.25,3.7,6.42,,22.02,50.89,11.44,3995.51,52.6,68.16,46.27,5.45,26.45,23.52,9.25,49.6,18.04,38.25,22.32,20.46,32.77,14.81,20.85,518.17,179.2,0.72,326.05,158.74,40.94,49.68,45.7,18.11,71.87,1.37,70.91,1.21,82.33,41.23,9.42,5.12,37.06,0.18,2.52,3.45,4.14,40.97,29.99,236.49,156.47,138.59,15.02,23.88,20.84,8.56,61.75,258.65,-67.51,0,3928
1995-02-01,186.2,216.29,0.58,2.6,104.63,40.65,120.85,30.25,24.12,3.68,6.76,,20.88,40.87,4.8,3995.11,82.98,67.12,41.93,5.3,17.67,23.62,8.07,54.53,19.04,60.26,13.17,22,32.08,17.27,18.71,488.79,179.19,0.56,333.87,165.06,41.02,55.97,61.51,17.86,79.11,2.26,78.12,1.61,87.98,37.08,10.65,5.06,46,0.21,9.45,7.88,3.81,43.03,34.92,238.35,121.59,136.73,41.14,32.79,19.48,9.14,57.44,260.53,-46.11,0,3949
1995-03-01,175.64,238.01,3.29,4.13,132.28,51.9,176.01,37.45,30.05,4.76,9.14,0,19.8,67.21,6.24,5188.91,192.59,77.62,50.92,9.97,11.43,28.4,11.96,72.73,23.87,117.35,24.56,27.65,49.86,20.37,28.82,613.6,179.66,0.6,435.51,202.41,56.18,63.9,93.18,25.22,99.04,1.72,93.82,1.91,101.49,57.52,10.76,6.7,69.16,0.08,9.86,17.61,3.89,55.99,85.56,286.1,201.12,176.21,45.09,30.83,21.91,14.36,75.61,348.3,-105.91,0,5083
1995-04-01,107.99,181.01,11.73,6.4,103.94,42.44,146.65,30.94,21.91,4.74,9.83,,31.93,43.43,7.11,4065.8,198.44,64.69,41.59,8.3,10.76,23.3,9.07,55.05,19.29,90.94,20.93,19.59,34.78,13.96,22.24,442.69,135.52,0.28,371.19,175.08,53.74,48.61,60.83,19.09,74.65,1.2,70.44,2.64,71.25,43.48,6.76,5.51,47.79,0.02,1.47,20.48,2.6,48.42,37.49,242.49,146.12,169.39,23.09,27.9,17.15,10.83,54.71,249.9,-60.8,0,4005
1995-05-01,191.15,216.77,15.06,12.38,107.54,44.26,177.62,35.12,24.95,3.76,8.56,,22.58,62.26,6.44,4880.42,242.68,74.19,53.66,13.03,9.09,30.95,11.78,60.7,24.05,32.25,21.8,25.05,42.95,16.31,27.55,499.84,198.12,0.32,406.5,202.25,62.9,60.19,78.47,25.32,87.63,2.73,80.77,2.38,130.21,49.76,12.34,6.22,45.62,0.13,8.63,24.44,3.41,54.53,51.28,285.15,164.38,249,19.71,27.48,22.08,11.66,69.34,323.11,-91.42,0,4789
1995-06-01,130.92,250.77,5.47,7.93,78.08,43.29,192.85,38.11,26.54,3.63,10.66,,27.36,49.8,6.64,5025.37,171.12,76.08,60.6,13.33,5.88,31.8,12.42,65.86,18.22,34.31,32.74,27.77,47.53,18.6,18.01,591.87,220.64,0.25,449.58,199.4,52.64,58.54,67.58,30.57,108.7,16.14,86.91,2.5,111.09,44.54,14.57,7.17,50.67,0.12,7.35,14.05,3.93,71.37,84.26,315.94,181.49,200.3,21.66,30.02,22.28,12.31,72.22,368.37,-82.37,0,4943
1995-07-01,140.19,222,2.63,24.95,84.08,37.48,179.08,33.9,28.92,3,11,,23.79,89.35,5.94,4664.11,79.39,64.46,65.47,10.08,6.23,30.61,11.14,58.59,19.81,30.79,28.17,26.04,40.28,17.5,20.92,546.13,188.08,0.34,419.56,193.6,42.65,52.04,42.57,28.56,103.27,13.1,81.57,2.02,103.85,42.9,12.76,5.98,45.17,0.09,13.45,5.48,3.55,66.56,49.92,313.9,169.39,206.37,14.96,36.88,21.9,10.82,64.18,366.7,-91.11,0,4573
1995-08-01,139.66,205.06,3.82,17.69,64.32,41.62,180.7,38.76,24.67,3.01,9.35,,17.72,72.44,10.32,4938.49,44.46,66.5,77.12,11.95,6.99,35.85,11.64,53.18,16.32,34.94,27.18,30.82,41.68,20.8,18.11,558.51,213.4,0.45,429.91,219.14,42.88,62.24,37.72,26.29,110.84,12.62,94.05,1.9,120.96,53.4,12.5,7.87,57.1,0.23,8.74,6.05,2.41,71.67,85.75,369.3,168.9,278.01,15.47,30.6,21.88,12.81,70.5,407.68,-110.49,0,4828
1995-09-01,149.49,154.56,2.73,5.29,75.95,42.54,205.19,39.17,27.01,4.76,8.34,,24.44,72.01,7.31,5067.6,54.85,62.2,89.7,14.81,11.75,36.01,11.26,66.77,13.47,34.39,30.31,30.29,46.12,20.32,12.4,571.49,199.5,0.16,500.11,210.52,48.15,64.1,38.86,29.5,116.54,14.34,93.53,3.22,126.36,44.63,13.72,7.02,55.1,0.1,6.71,5.48,2.48,76.1,52.16,337.33,202.45,338.94,18.21,33.44,20.78,12.95,72.11,398.04,-84.6,0,4983
1995-10-01,133.59,170.94,1.54,3.65,45.9,42.21,200.16,38.1,26.37,4.34,10.24,,24.16,55.78,7.52,4852.76,9.78,70.21,102.23,10.85,13.61,37.19,10.74,49.72,19.58,33.44,37.48,28.68,37.76,20.88,18.07,491.54,179.21,1.75,446.93,216.49,35.69,56.82,50.87,23.82,107.29,17.5,82.13,2.15,124.95,74.73,14.35,8.23,53.89,0.05,3.07,14.8,2.11,84.51,46.93,304.5,208.08,411.62,25.95,35.76,21.65,13.07,69.95,357.66,-81.76,0,4771
1995-11-01,178.4,187.94,1.14,3.14,86.22,48.81,195.55,42.25,26.3,3.71,9.75,,19.77,40.97,13.14,5210.84,14.21,69.58,81.54,11.27,14.11,36.74,12.05,67.83,23.05,36.43,51.26,27.3,42.41,22.34,8.68,549.47,179.37,7.57,500.26,212.19,43.08,65.16,63.48,32.7,109.08,32.24,89.07,2.97,130.01,40.85,14.07,10.39,47.88,0.16,3.96,8.04,11.4,90.91,62.61,355.75,218.26,396.69,23.16,30.14,22.29,15.12,78.71,387.94,-82.84,0,5128
1995-12-01,229.59,199.64,0.44,3.52,83.97,39.47,161.31,34.93,21.92,3.76,8.35,,18.58,92.7,8.3,4840.38,27.32,63.72,62.23,10.31,11.33,32.73,10.98,69.49,24.52,37.82,17.88,23.72,49.52,18.48,11.42,638.28,117.43,3.42,542.7,190.74,40.61,66.47,59.38,24.23,111.67,28.15,84.82,2.88,114.25,55.24,12.38,10.82,50.38,0.31,6.41,21.95,3.26,76.97,46.84,316.86,179.52,185.52,23.72,27.67,22.02,11.67,69.46,316.43,-89.38,0,4751
