,actual,forecast,error,abs_error,squared_error,abs_percentage_error
2010-03-01,14144.139999999998,14935.582418599022,-791.4424185990247,791.4424185990247,626381.1019578738,0.055955499493007335
2010-04-01,11503.48,11709.28557247545,-205.8055724754504,205.8055724754504,42355.93366194786,0.01789072284869017
2010-05-01,13449.77,12804.174144738332,645.5958552616685,645.5958552616685,416794.0083310452,0.048000512667626914
2010-06-01,15183.239999999998,13693.638558077824,1489.6014419221738,1489.6014419221738,2218912.4557766193,0.098108272142321
2010-07-01,13765.359999999999,14437.128952632489,-671.7689526324903,671.7689526324903,451273.52572095295,0.04880140821834593
2010-08-01,14541.969999999998,14855.043603754024,-313.0736037540264,313.0736037540264,98015.08136753314,0.021528967791435854
2010-09-01,15319.969999999996,15261.101359118993,58.86864088100265,58.86864088100265,3465.5168791764563,0.0038426081043894124
2010-10-01,14267.359999999997,14441.544663259823,-174.18466325982627,174.18466325982627,30340.29691493907,0.012208612052953476
2010-11-01,14645.079999999994,15222.167590929985,-577.0875909299903,577.0875909299903,333030.08760537975,0.03940487801568789
2010-12-01,14193.939999999995,14404.42195217653,-210.48195217653483,210.48195217653483,44302.6521920451,0.014829001121361292
2011-01-01,13842.989999999996,13326.48929059256,516.5007094074354,516.5007094074354,266772.98281838396,0.03731135465729842
2011-02-01,14729.439999999999,14646.852938687545,82.58706131245344,82.58706131245344,6820.622696226944,0.005606938302641068
2011-03-01,17385.75,17218.33167774105,167.41832225894905,167.41832225894905,28028.894628001315,0.009629628992649098
2011-04-01,14428.56,14201.562568532207,226.99743146779292,226.99743146779292,51527.833892975344,0.01573250771163532
2011-05-01,16082.52,16441.813329121822,-359.29332912182144,359.29332912182144,129091.69635144151,0.022340611366988596
2011-06-01,17269.12,16325.173474017536,943.9465259824628,943.9465259824628,891035.0439143605,0.054660951222903244
2011-07-01,17006.03,16376.131411443672,629.898588556327,629.898588556327,396772.23186525295,0.0370397199438274
2011-08-01,18161.22,17754.25487875636,406.96512124364017,406.96512124364017,165620.60990885075,0.022408468222048967
2011-09-01,18192.98,18653.79492294543,-460.81492294543204,460.81492294543204,212350.39320920449,0.025329271122456688
2011-10-01,13979.769999999999,17540.70177686101,-3560.931776861011,3560.931776861011,12680235.119458515,0.2547203406680518
2011-11-01,12577.910000000002,14777.519048665125,-2199.609048665123,2199.609048665123,4838279.966969486,0.17487873968450424
