,actual,forecast,error,abs_error,squared_error,abs_percentage_error
2010-03-01,16142.689999999999,15817.654529737958,325.0354702620407,325.0354702620407,105648.05692846594,0.020135149114679195
2010-04-01,13964.049999999997,13531.342266857055,432.70773314294274,432.70773314294274,187235.98232170416,0.03098726609708092
2010-05-01,16447.98,15634.537407064508,813.4425929354911,813.4425929354911,661688.8520016151,0.04945547069825542
2010-06-01,17942.68,16717.8608936684,1224.8191063316008,1224.8191063316008,1500181.8432349411,0.06826288527308076
2010-07-01,15456.200000000003,17094.040170403372,-1637.8401704033695,1637.8401704033695,2682520.423786938,0.10596654872500157
2010-08-01,16317.099999999999,17097.586171478175,-780.4861714781764,780.4861714781764,609158.6638686614,0.047832407197245616
2010-09-01,17940.7,17184.196332717715,756.5036672822862,756.5036672822862,572297.7986115479,0.042166898018599394
2010-10-01,16970.71,16838.69429268242,132.01570731757965,132.01570731757965,17428.146978560853,0.007779032657889956
2010-11-01,17439.13,17931.605049451402,-492.475049451401,492.475049451401,242531.67433215986,0.028239656992717008
2010-12-01,16982.470000000005,17474.415424617076,-491.9454246170717,491.9454246170717,242010.30080167096,0.028967837105972897
2011-01-01,16156.230000000003,15717.3612398223,438.86876017770373,438.86876017770373,192605.78865991483,0.027164057467472524
2011-02-01,18356.360000000008,17210.989343412122,1145.3706565878856,1145.3706565878856,1311873.9409725643,0.0623963932167317
2011-03-01,20879.700000000008,19900.016145018664,979.6838549813438,979.6838549813438,959780.4557111065,0.0469203989990921
2011-04-01,17257.540000000008,17540.631090611616,-283.0910906116078,283.0910906116078,80140.56558366954,0.016403907544853304
2011-05-01,18995.69000000001,20293.053990758857,-1297.3639907588476,1297.3639907588476,1683153.3245177234,0.06829780812167639
2011-06-01,20240.37000000001,19249.1299815702,991.2400184298094,991.2400184298094,982556.774136729,0.048973413945980676
2011-07-01,20457.830000000013,19102.925685343034,1354.9043146569784,1354.9043146569784,1835765.7018760962,0.06622913156756985
2011-08-01,21227.120000000014,20960.867527840557,266.2524721594564,266.2524721594564,70890.37893102209,0.01254303325931432
2011-09-01,20743.900000000016,21599.234380011938,-855.3343800119219,855.3343800119219,731596.9016303788,0.04123305550122789
2011-10-01,16892.490000000013,20746.758019197117,-3854.268019197105,3854.268019197105,14855381.963805575,0.22816458788474062
2011-11-01,15413.480000000007,17628.88162155059,-2215.4016215505835,2215.4016215505835,4908004.344768954,0.14373143647966471
2011-12-01,15955.030000000012,15394.810064852372,560.2199351476393,560.2199351476393,313846.37573682517,0.03511243383106386
2012-01-01,15736.35000000001,14519.068589050272,1217.2814109497376,1217.2814109497376,1481774.033443784,0.07735474941455528
2012-02-01,19037.150000000016,16578.04579810086,2459.1042018991575,2459.1042018991575,6047193.475798092,0.1291739678417807
2012-03-01,19866.240000000016,19622.278883930285,243.96111606973136,243.96111606973136,59517.02615398894,0.01228018568535018
2012-04-01,16899.530000000013,17242.010206268296,-342.4802062682829,342.4802062682829,117292.69168556562,0.02026566456394247
2012-05-01,20927.910000000018,19929.44955858503,998.4604414149871,998.4604414149871,996923.2530706109,0.04770951525570333
2012-06-01,19759.20000000002,20058.846344982747,-299.6463449827279,299.6463449827279,89787.93206150798,0.015164902677371939
2012-07-01,19350.670000000016,19792.762221218778,-442.09222121876155,442.09222121876155,195445.5320621384,0.022846352153117238
2012-08-01,19695.99000000002,20662.74069736974,-966.75069736972,966.75069736972,934606.9108648399,0.04908363059535058
2012-09-01,20645.77000000002,19780.40631789844,865.3636821015789,865.3636821015789,748854.3023004024,0.041914817519597386
2012-10-01,19521.72000000002,20649.326297209693,-1127.6062972096734,1127.6062972096734,1271495.9615069102,0.05776162639407144
2012-11-01,19550.640000000018,19665.927395538747,-115.28739553872947,115.28739553872947,13291.18357010346,0.005896860437240386
2012-12-01,18093.090000000015,18906.14004674965,-813.0500467496349,813.0500467496349,661050.3785195835,0.04493704761042112
2013-01-01,18268.570000000014,17894.5344706975,374.03552930251317,374.03552930251317,139902.57718061117,0.020474264230999628
2013-02-01,17927.660000000014,19248.072091643193,-1320.4120916431784,1320.4120916431784,1743488.0917575133,0.07365222743197815
2013-03-01,20582.720000000016,19625.640305342426,957.0796946575902,957.0796946575902,916001.541925866,0.04649918449347751
2013-04-01,17400.28000000001,18018.041045145554,-617.7610451455439,617.7610451455439,381628.70889931475,0.03550293703006754
2013-05-01,19826.09000000002,19856.053400625722,-29.963400625703798,29.963400625703798,897.8053770564268,0.001511311641665289
2013-06-01,19097.810000000016,20086.740890545985,-988.9308905459693,988.9308905459693,977984.3062760439,0.05178242377246231
2013-07-01,19058.330000000016,19346.133261643354,-287.80326164333746,287.80326164333746,82830.71741254337,0.01510117946553225
2013-08-01,20457.99000000002,19717.569128975538,740.420871024482,740.420871024482,548223.0662486526,0.036192258918128384
2013-09-01,19295.910000000018,20605.029875937194,-1309.1198759371764,1309.1198759371764,1713794.8495737682,0.06784442277856681
2013-10-01,19392.77000000002,19901.395352558968,-508.6253525589491,508.6253525589491,258699.74926571525,0.026227576182203397
2013-11-01,18751.43000000002,18568.590449523643,182.83955047637573,182.83955047637573,33430.30121840315,0.009750699038760007
2013-12-01,18438.980000000018,17975.37293974095,463.6070602590662,463.6070602590662,214931.50632205344,0.025142771468870066
2014-01-01,17863.11000000002,18137.836245415416,-274.726245415397,274.726245415397,75474.50992004093,0.01537953051934387
2014-02-01,18352.71000000002,18348.06677406982,4.643225930201879,4.643225930201879,21.559547038899108,0.0002529994714787012
2014-03-01,19752.12000000002,20181.906564422086,-429.78656442206557,429.78656442206557,184716.49095772233,0.02175900938340113
2014-04-01,17193.53000000002,17246.517151254437,-52.98715125441595,52.98715125441595,2807.6381980583537,0.0030818075900885906
2014-05-01,19380.190000000024,19274.352127458056,105.83787254196795,105.83787254196795,11201.655264209854,0.005461136993082515
2014-06-01,19707.73000000003,19660.98836019569,46.741639804338774,46.741639804338774,2184.780891598547,0.002371741433657692
2014-07-01,18892.820000000025,19576.720218013303,-683.9002180132775,683.9002180132775,467719.50819860847,0.03619894849012887
2014-08-01,18935.870000000024,19992.672805340753,-1056.8028053407288,1056.8028053407288,1116832.1693760343,0.055809572274246044
2014-09-01,19904.680000000033,19589.752717340372,314.9272826596607,314.9272826596607,99179.19336339783,0.015821770692101566
2014-10-01,20205.18000000003,19838.8522972269,366.327702773131,366.327702773131,134195.98581903943,0.018130385513671767
2014-11-01,18541.920000000027,19713.699208126312,-1171.779208126285,1171.779208126285,1373066.5125970638,0.06319621744276123
2014-12-01,18732.120000000028,18742.427104509996,-10.307104509967758,10.307104509967758,106.23640337939769,0.0005502369464837799
2015-01-01,17244.730000000025,18044.07823244554,-799.3482324455144,799.3482324455144,638957.5967137682,0.04635318920305005
2015-02-01,17218.890000000025,17913.545794973565,-694.6557949735397,694.6557949735397,482546.6734903205,0.04034265826505302
2015-03-01,18870.350000000024,19465.565739231413,-595.2157392313893,595.2157392313893,354281.7762287692,0.0315423794063909
2015-04-01,16892.580000000024,16008.169143791012,884.4108562090114,884.4108562090114,782182.5625803566,0.052354989954702606
2015-05-01,18425.52000000003,18995.956890656355,-570.436890656325,570.436890656325,325398.24622165604,0.030959066048411338
2015-06-01,18151.840000000026,19228.41862499392,-1076.5786249938938,1076.5786249938938,1159021.5357937429,0.05930961406633665
2015-07-01,18206.22000000003,17777.81846517115,428.40153482888127,428.40153482888127,183527.87504374117,0.023530504126000926
2015-08-01,17667.97000000003,18752.475030609883,-1084.5050306098528,1084.5050306098528,1176151.1614180778,0.06138254879365603
2015-09-01,18814.410000000033,18682.072819581008,132.33718041902466,132.33718041902466,17513.129321257486,0.007033820375925922
2015-10-01,18566.27000000003,18609.368572313535,-43.09857231350543,43.09857231350543,1857.4869354624566,0.0023213371513774905
2015-11-01,17162.75000000003,17914.869672389064,-752.1196723890353,752.1196723890353,565684.0015945897,0.04382279485449791
2015-12-01,17088.06000000003,17335.111221089755,-247.051221089725,247.051221089725,61034.305841924186,0.01445753474003044
2016-01-01,15692.450000000028,16522.24398538973,-829.7939853897024,829.7939853897024,688558.0581889256,0.052878548944855705
2016-02-01,18981.840000000033,16256.055876267681,2725.784123732352,2725.784123732352,7429899.0891913455,0.1435995732622521
2016-03-01,19170.19000000003,20490.61269016023,-1320.4226901601978,1320.4226901601978,1743516.0806898938,0.068878956867939
2016-04-01,15609.270000000026,16714.7261567755,-1105.4561567754754,1105.4561567754754,1222033.3145528045,0.07082049043776381
2016-05-01,17697.18000000003,18570.79039182987,-873.6103918298395,873.6103918298395,763195.1167130857,0.04936438414650459
2016-06-01,18152.04000000003,17529.968415548283,622.0715844517472,622.0715844517472,386973.05618230725,0.03427006465674085
2016-07-01,17064.08000000003,17306.83289111228,-242.75289111224993,242.75289111224993,58928.96614335587,0.01422595833541858
2016-08-01,18744.78000000003,18662.811684388624,81.96831561140789,81.96831561140789,6718.804764171374,0.004372860903750684
2016-09-01,19437.980000000036,18804.46537837688,633.5146216231551,633.5146216231551,401340.77581032936,0.032591587275177455
2016-10-01,17756.880000000034,18486.228526223986,-729.3485262239519,729.3485262239519,531949.2727050507,0.04107413724843275
2016-11-01,18908.600000000035,18097.377053069587,811.2229469304475,811.2229469304475,658082.6696265197,0.04290232735001248
2016-12-01,18172.240000000038,18033.918488145813,138.3215118542248,138.3215118542248,19132.840641638453,0.007611692991850456
2017-01-01,17094.060000000034,17727.72338885297,-633.6633888529359,633.6633888529359,401529.29037258704,0.03706921520416651
2017-02-01,18436.960000000036,18413.474387408573,23.485612591462996,23.485612591462996,551.5739987962852,0.0012738332453649055
2017-03-01,20895.570000000047,20288.641818436732,606.9281815633149,606.9281815633149,368361.8175757521,0.029045782506211294
2017-04-01,16861.53000000004,17442.432890419324,-580.9028904192855,580.9028904192855,337448.1680974805,0.03445137484079346
2017-05-01,19971.40000000005,20176.28434775479,-204.8843477547416,204.8843477547416,41977.595954885895,0.010258887597000766
2017-06-01,20131.96000000005,20026.430035260124,105.52996473992607,105.52996473992607,11136.57345801004,0.005241912100954195
2017-07-01,18863.06000000005,19101.56756285259,-238.507562852541,238.507562852541,56885.8575378588,0.012644160748708872
2017-08-01,21367.300000000054,20834.39568889173,532.9043111083229,532.9043111083229,283987.0047978362,0.0249401801401357
2017-09-01,21834.69000000005,20824.134208089137,1010.5557919109124,1010.5557919109124,1021223.0085646913,0.04628212225183458
2017-10-01,20015.83000000005,21054.747512690934,-1038.917512690885,1038.917512690885,1079349.598175815,0.051904792990891825
2017-11-01,21440.86000000005,20777.54300818311,663.3169918169406,663.3169918169406,439989.43163307523,0.030937051583609005
2017-12-01,19721.440000000042,19971.17443623963,-249.73443623958883,249.73443623958883,62367.28864390526,0.012663093376527693
2018-01-01,20181.180000000048,19694.689377403578,486.4906225964696,486.4906225964696,236673.12587430063,0.02410615348539919
2018-02-01,20456.110000000044,20787.17348354138,-331.0634835413366,331.0634835413366,109603.03013452486,0.016184087959115193
2018-03-01,22649.76000000005,22719.103472672978,-69.34347267292833,69.34347267292833,4808.517202341158,0.003061554412626367
2018-04-01,19082.490000000045,19899.35641566781,-816.866415667766,816.866415667766,667270.7410459034,0.04280711876006559
